name,type
"Marian University","1"
"Marist College","1"
"Marquette University","1"
"Marshall University","1"
"Maryville University of Saint Louis","1"
"Massachusetts Institute of Technology","1"
"Massachusetts Maritime Academy","1"
"McKendree University","1"
"McNeese State University","1"
"Medaille College","1"
"Menlo College","1"
"Mercer University","1"
"Mercyhurst University","1"
"Merrimack College","1"
"Miami University","1"
"Michigan State University (MSU)","1"
"Michigan Technological University","1"
"Middle Tennessee State University","1"
"Middlebury College","1"
"Minnesota State University, Mankato","1"
"Mississippi State University for Agriculture and Applied Science","1"
"Mississippi Valley State University","1"
"Missouri State University","1"
"Missouri University of Science and Technology","1"
"Molloy University","1"
"Monmouth University","1"
"Montana State University","1"
"Morehead State University","1"
"Morehouse College","1"
"Morgan State University","1"
"Morris Brown College","1"
"Mount Aloysius College","1"
"Mount Saint Mary’s University","1"
"Muhlenberg College","1"
"Murray State University","1"
"New Jersey City University","1"
"New Jersey Institute of Technology","1"
"New Mexico State University (NMSU)","1"
"New York University (NYU)","1"
"Niagara University","1"
"Nicholls State University","1"
"Norfolk State University","1"
"North Carolina Agricultural and Technical State University","1"
"North Carolina Central University","1"
"North Carolina State University","1"
"North Central College","1"
"North Dakota State University of Agriculture and Applied Sciences","1"
"North Greenville University","1"
"Northeastern Illinois University","1"
"Northeastern University","1"
"Northern Arizona University","1"
"Northern Illinois University","1"
"Northern Kentucky University","1"
"Northern Michigan University","1"
"Northwestern State University of Louisiana","1"
"Northwestern University","1"
"Oakland University","1"
"Occidental College","1"
"Oklahoma Christian University","1"
"Oklahoma City University","1"
"Oklahoma State University–Stillwater","1"
"Old Dominion University","1"
"Oral Roberts University","1"
"Oregon State University","1"
"Palm Beach Atlantic University","1"
"Pennsylvania State University Altoona","1"
"Pennsylvania State University Erie, The Behrend College","1"
"Pennsylvania Western University Clarion","1"
"Pennsylvania Western University Edinboro","1"
"Pepperdine University","1"
"Pitzer College","1"
"Plymouth State University","1"
"Pomona College","1"
"Portland State University","1"
"Post University","1"
"Prairie View A&M University","1"
"Presbyterian College","1"
"Princeton University","1"
"Principia College","1"
"Providence College","1"
"Purdue University Fort Wayne","1"
"Purdue University","1"
"Queens College, City University of New York","1"
"Queens University of Charlotte","1"
"Quincy University","1"
"Quinnipiac University","1"
"Radford University","1"
"Regis University","1"
"Rensselaer Polytechnic Institute","1"
"Rhode Island College","1"
"Rider University","1"
"Robert Morris University","1"
"Roberts Wesleyan University","1"
"Rochester Institute of Technology","1"
"Rockhurst University","1"
"Rose–Hulman Institute of Technology","1"
"Rutgers University–New Brunswick","1"
"Sacred Heart University","1"
"Saint Anselm College","1"
"Saint Augustine’s University","1"
"Saint Bonaventure University","1"
"Saint Cloud State University","1"
"Saint Francis College","1"
"Saint Francis University","1"
"Saint John’s University","1"
"Saint Joseph’s University","1"
"Saint Lawrence University","1"
"Saint Leo University","1"
"Saint Louis University","1"
"Saint Mary’s College of California","1"
"Saint Michael’s College","1"
"Saint Olaf College","1"
"Saint Peter’s University","1"
"Saint Thomas Aquinas College","1"
"Saint Vincent College","1"
"Salem University","1"
"Sam Houston State University","1"
"Samford University","1"
"San Diego State University (SDSU)","1"
"San Jose State University","1"
"Santa Clara University","1"
"Savannah State University","1"
"Scripps College","1"
"Seattle University","1"
"Seton Hall University","1"
"Shaw University","1"
"Siena College","1"
"Simpson College","1"
"Smith College","1"
"South Carolina State University","1"
"South Dakota State University","1"
"Southeast Missouri State University","1"
"Southeastern Louisiana University","1"
"Southern Connecticut State University","1"
"Southern Illinois University Carbondale","1"
"Southern Illinois University Edwardsville","1"
"Southern Methodist University","1"
"Southern New Hampshire University","1"
"Southern University and A&M College","1"
"Southern Utah University","1"
"Spring Hill College","1"
"Springfield College","1"
"Stanford University","1"
"State University of New York at Albany","1"
"State University of New York at Binghamton","1"
"State University of New York at Buffalo","1"
"State University of New York at Stony Brook","1"
"State University of New York College at Brockport","1"
"State University of New York College at Cortland","1"
"State University of New York Maritime College","1"
"Stephen F. Austin State University","1"
"Stetson University","1"
"Stevens Institute of Technology","1"
"Stevenson University","1"
"Stonehill College","1"
"Syracuse University","1"
"Tarleton State University","1"
"Temple University","1"
"Tennessee State University","1"
"Tennessee Technological University","1"
"Texas A&M University–Commerce","1"
"Texas A&M University–Corpus Christi","1"
"Texas A&M University–Kingsville","1"
"Texas A&M University","1"
"Texas Christian University","1"
"Texas Southern University","1"
"Texas State University","1"
"Texas Tech University","1"
"The Citadel, The Military College of South Carolina","1"
"The College of Saint Scholastica","1"
"The College of William and Mary in Virginia","1"
"The George Washington University","1"
"The Ohio State University","1"
"The Ohio University","1"
"The Pennsylvania State University (Penn State)","1"
"Thomas More University","1"
"Towson University","1"
"Trinity University","1"
"Troy University","1"
"Tufts University","1"
"Tulane University of Louisiana","1"
"Tusculum University","1"
"Union College","1"
"United States Air Force Academy","1"
"United States Coast Guard Academy","1"
"United States International University","1"
"United States Military Academy","1"
"United States Naval Academy","1"
"University of Akron","1"
"University of Alabama at Birmingham","1"
"University of Alabama","1"
"University of Alaska Anchorage","1"
"University of Alaska Fairbanks","1"
"University of Arizona","1"
"University of Arkansas","1"
"University of Arkansas at Little Rock (UALR)","1"
"University of Baltimore","1"
"University of Bridgeport","1"
"University of California, Berkeley (Cal)","1"
"University of California, Davis","1"
"University of California, Irvine","1"
"University of California, Los Angeles","1"
"University of California, Merced","1"
"University of California, Riverside","1"
"University of California, San Diego","1"
"University of California, Santa Barbara","1"
"University of Central Arkansas","1"
"University of Central Florida (UCF)","1"
"University of Central Missouri","1"
"University of Charleston","1"
"University of Cincinnati","1"
"University of Colorado Boulder","1"
"University of Connecticut (UConn)","1"
"University of Dayton","1"
"University of Delaware","1"
"University of Denver","1"
"University of Detroit Mercy","1"
"University of Evansville","1"
"University of Florida","1"
"University of Georgia","1"
"University of Hartford","1"
"University of Hawaiʻi at Mānoa","1"
"University of Houston","1"
"University of Idaho","1"
"University of Illinois Chicago","1"
"University of Illinois Urbana-Champaign (UIUC)","1"
"University of Iowa (UIowa)","1"
"University of Jamestown","1"
"University of Kansas (KU)","1"
"University of Kentucky (UK)","1"
"University of La Verne","1"
"University of Louisiana at Lafayette","1"
"University of Louisiana at Monroe","1"
"University of Louisville","1"
"University of Maine at Presque Isle","1"
"University of Maine","1"
"University of Maryland","1"
"University of Massachusetts Amherst (UMass)","1"
"University of Massachusetts Lowell","1"
"University of Memphis","1"
"University of Miami","1"
"University of Michigan","1"
"University of Minnesota Duluth","1"
"University of Minnesota","1"
"University of Mississippi","1"
"University of Missouri–Columbia (Mizzou)","1"
"University of Missouri–Kansas City (UMKC)","1"
"University of Montana","1"
"University of Mount Olive","1"
"University of Nebraska Omaha","1"
"University of Nebraska–Lincoln (UNL)","1"
"University of Nevada, Las Vegas (UNLV)","1"
"University of Nevada, Reno","1"
"University of New Hampshire","1"
"University of New Mexico","1"
"University of New Orleans","1"
"University of North Alabama","1"
"University of North Carolina at Chapel Hill (UNC)","1"
"University of North Dakota","1"
"University of North Florida","1"
"University of North Georgia","1"
"University of North Texas","1"
"University of Northern Colorado","1"
"University of Northern Iowa","1"
"University of Notre Dame du Lac","1"
"University of Oklahoma (OU)","1"
"University of Oregon (UO)","1"
"University of Pennsylvania (Penn)","1"
"University of Pittsburgh (Pitt)","1"
"University of Pittsburgh at Bradford","1"
"University of Portland","1"
"University of Redlands","1"
"University of Rhode Island","1"
"University of Richmond","1"
"University of Saint Thomas","1"
"University of San Diego","1"
"University of San Francisco","1"
"University of South Alabama","1"
"University of South Carolina Upstate","1"
"University of South Carolina","1"
"University of South Dakota","1"
"University of South Florida","1"
"University of Southern California (USC)","1"
"University of Southern Indiana","1"
"University of Southern Mississippi","1"
"University of Tampa","1"
"University of Tennessee at Chattanooga","1"
"University of Tennessee at Martin","1"
"University of Tennessee, Knoxville (UTK)","1"
"University of Texas at Arlington","1"
"University of Texas at Austin (UT)","1"
"University of Texas at El Paso (UTEP)","1"
"University of Texas at San Antonio","1"
"University of Texas Rio Grande Valley","1"
"University of Texas–Pan American","1"
"University of the Incarnate Word","1"
"University of the Pacific","1"
"University of Toledo","1"
"University of Tulsa","1"
"University of Utah","1"
"University of Vermont and State Agricultural College","1"
"University of Virginia","1"
"University of Washington (UW)","1"
"University of West Georgia","1"
"University of Wisconsin–Eau Claire","1"
"University of Wisconsin–Green Bay","1"
"University of Wisconsin–La Crosse","1"
"University of Wisconsin–Madison (UW)","1"
"University of Wisconsin–Milwaukee","1"
"University of Wisconsin–Oshkosh","1"
"University of Wisconsin–Stout","1"
"University of Wisconsin–Whitewater","1"
"University of Wyoming","1"
"Upper Iowa University","1"
"Ursinus College","1"
"Ursuline College","1"
"Utah State University","1"
"Utah Tech University","1"
"Utah Valley University","1"
"Utica University","1"
"Valparaiso University","1"
"Vanderbilt University","1"
"Vanguard University","1"
"Vassar College","1"
"Vermont State University","1"
"Villanova University","1"
"Virginia Commonwealth University","1"
"Virginia Military Institute","1"
"Virginia Polytechnic Institute and State University","1"
"Virginia State University","1"
"Virginia Union University","1"
"Wagner College","1"
"Wake Forest University","1"
"Walsh University","1"
"Washington & Jefferson College","1"
"Washington and Lee University","1"
"Washington State University (WSU)","1"
"Washington University in St. Louis","1"
"Wayne State College","1"
"Wayne State University","1"
"Weber State University","1"
"Wellesley College","1"
"West Chester University of Pennsylvania","1"
"West Chester University","1"
"West Texas A&M University","1"
"West Virginia University","1"
"Western Carolina University","1"
"Western Illinois University","1"
"Western Kentucky University","1"
"Western Michigan University","1"
"Westminster University","1"
"Whittier College","1"
"Wichita State University (WSU)","1"
"William Marsh Rice University","1"
"Williams College","1"
"Wilmington University","1"
"Wilson College","1"
"Winona State University","1"
"Winthrop University","1"
"Wittenberg University","1"
"Wofford College","1"
"Wright State University","1"
"Xavier University","1"
"Yale University","1"
"Yeshiva University","1"
"Youngstown State University","1"
"D'Youville University","1"
"Afghanistan","3"
"Albania","3"
"Algeria","3"
"Andorra","3"
"Angola","3"
"Antigua and Barbuda","3"
"Argentina","3"
"Armenia","3"
"Australia","3"
"Austria","3"
"Azerbaijan","3"
"Bahamas","3"
"Bahrain","3"
"Bangladesh","3"
"Barbados","3"
"Belarus","3"
"Belgium","3"
"Belize","3"
"Benin","3"
"Bhutan","3"
"Bolivia","3"
"Bosnia and Herzegovina","3"
"Botswana","3"
"Brazil","3"
"Brunei","3"
"Bulgaria","3"
"Burkina Faso","3"
"Burundi","3"
"Cabo Verde","3"
"Cambodia","3"
"Cameroon","3"
"Canada","3"
"Central African Republic","3"
"Chad","3"
"Chile","3"
"China","3"
"Colombia","3"
"Comoros","3"
"Congo","3"
"Costa Rica","3"
"Croatia","3"
"Cuba","3"
"Cyprus","3"
"Czech Republic","3"
"Democratic Republic of the Congo","3"
"Denmark","3"
"Djibouti","3"
"Dominica","3"
"Dominican Republic","3"
"East Timor","3"
"Ecuador","3"
"Egypt","3"
"El Salvador","3"
"Equatorial Guinea","3"
"Eritrea","3"
"Estonia","3"
"Eswatini","3"
"Ethiopia","3"
"Fiji","3"
"Finland","3"
"France","3"
"Gabon","3"
"Gambia","3"
"Georgia","3"
"Germany","3"
"Ghana","3"
"Greece","3"
"Grenada","3"
"Guatemala","3"
"Guinea","3"
"Guinea-Bissau","3"
"Guyana","3"
"Haiti","3"
"Honduras","3"
"Hungary","3"
"Iceland","3"
"India","3"
"Indonesia","3"
"Iran","3"
"Iraq","3"
"Ireland","3"
"Israel","3"
"Italy","3"
"Ivory Coast","3"
"Jamaica","3"
"Japan","3"
"Jordan","3"
"Kazakhstan","3"
"Kenya","3"
"Kiribati","3"
"Kosovo","3"
"Kuwait","3"
"Kyrgyzstan","3"
"Laos","3"
"Latvia","3"
"Lebanon","3"
"Lesotho","3"
"Liberia","3"
"Libya","3"
"Liechtenstein","3"
"Lithuania","3"
"Luxembourg","3"
"Madagascar","3"
"Malawi","3"
"Malaysia","3"
"Maldives","3"
"Mali","3"
"Malta","3"
"Marshall Islands","3"
"Mauritania","3"
"Mauritius","3"
"Mexico","3"
"Micronesia","3"
"Moldova","3"
"Monaco","3"
"Mongolia","3"
"Montenegro","3"
"Morocco","3"
"Mozambique","3"
"Myanmar","3"
"Namibia","3"
"Nauru","3"
"Nepal","3"
"Netherlands","3"
"New Zealand","3"
"Nicaragua","3"
"Niger","3"
"Nigeria","3"
"North Korea","3"
"North Macedonia","3"
"Norway","3"
"Oman","3"
"Pakistan","3"
"Palau","3"
"Palestine","3"
"Panama","3"
"Papua New Guinea","3"
"Paraguay","3"
"Peru","3"
"Philippines","3"
"Poland","3"
"Portugal","3"
"Qatar","3"
"Romania","3"
"Russia","3"
"Rwanda","3"
"Saint Kitts and Nevis","3"
"Saint Lucia","3"
"Saint Vincent and the Grenadines","3"
"Samoa","3"
"San Marino","3"
"Sao Tome and Principe","3"
"Saudi Arabia","3"
"Senegal","3"
"Serbia","3"
"Seychelles","3"
"Sierra Leone","3"
"Singapore","3"
"Slovakia","3"
"Slovenia","3"
"Solomon Islands","3"
"Somalia","3"
"South Africa","3"
"South Korea","3"
"South Sudan","3"
"Spain","3"
"Sri Lanka","3"
"Sudan","3"
"Suriname","3"
"Sweden","3"
"Switzerland","3"
"Syria","3"
"Taiwan","3"
"Tajikistan","3"
"Tanzania","3"
"Thailand","3"
"Togo","3"
"Tonga","3"
"Trinidad and Tobago","3"
"Tunisia","3"
"Turkey","3"
"Turkmenistan","3"
"Tuvalu","3"
"Uganda","3"
"Ukraine","3"
"United Arab Emirates","3"
"United Kingdom","3"
"United States","3"
"Uruguay","3"
"Uzbekistan","3"
"Vanuatu","3"
"Vatican City","3"
"Venezuela","3"
"Vietnam","3"
"Yemen","3"
"Zambia","3"
"Zimbabwe","3"
